id,isPopular,description,popularity,example,category
***,true,A dinkus. Breaks section.,1083,***,
****,true,End of post dinkus.,574,****,
//,true,A comment. Prints nothing.,565,,
#,true,An html h1 tag.,1792,# Hello world,
##,true,An html h2 tag.,526,## Hello world,
>,true,A quote.,49,> The only thing we have to fear is fear itself. - FDR,
authors,true,Set author(s) name(s).,738,"authors Breck Yunits
https://breckyunits.com Breck Yunits",
blankLineParser,true,Print nothing. Break section.,30815,,
buildHtml,true,Compile to HTML file.,765,,
buildTxt,true,Compile to TXT file.,760,,
caption,true,An image caption.,321,"map.png
caption A map.",
catchAllParagraph,true,A paragraph.,11557,,
code,true,A code block.,193,"code
two = 1 + 1",
date,true,Set published date.,668,"date 1/11/2019
printDate
Hello world
dateline",
htmlInlineParser,true,Inline HTML.,579,<h1>Inline HTML</h1>,
image,true,An img tag.,591,"image screenshot.png
caption A caption.",
printAuthors,true,Prints author(s) byline.,167,"authors Breck Yunits
https://breckyunits.com
printAuthors",
printDate,true,Print published date.,44,"date 1/11/2019
printDate",
printTitle,true,Print title.,758,"title Eureka
printTitle",
theme,true,A collection of simple themes.,753,theme gazette,
title,true,Set title.,753,"title Eureka
printTitle",
-,,A list item.,1433,- I had a _new_ thought.,
---,,A horizontal rule.,37,---,
!,,Counterpoint comment. Prints nothing.,20,,
?,,A question.,425,? Why is the sky blue?,
[],,A task todo.,20,[] Get milk,
[x],,A completed task.,8,[x] get milk,
*,,A paragraph.,189,* I had a _new_ idea.,
###,,An html h3 tag.,109,### Hello world,
####,,An html h4 tag.,29,#### Hello world,
#####,,An html h5 tag.,0,##### Hello world,
a,,HTML tag.,0,"a Home
href /",
aboveAsCode,,Print code above.,49,"counter 1 second
aboveAsCode",
aboveAsHtml,,Displays html output of previous particle in a code block.,66,"# Hello world
aboveAsHtml",
article,,HTML tag.,0,"article
h1 My article",
aside,,HTML tag.,0,"aside
h1 Some notes",
assert,,Test above particle's output.,0,"Hello
assert txt includes Hello",
assertBuildEndsWith,,Test above particle's output.,0,"buildCsv
assertBuildEndsWith virginica",
assertBuildIncludes,,Test above particle's output.,0,"buildCsv
assertBuildIncludes virginica",
assertHtmlEquals,,Test above particle's output.,0,"<b></b>
assertHtmlEquals <b></b>",
assertHtmlExcludes,,Test above particle's output.,0,,
assertHtmlIncludes,,Test above particle's output.,0,,
assertHtmlMatches,,Test above particle's output.,0,,
assertSilenceBelowErrors,,Silence errors in the below particle in automated tests.,0,,
background,,Quickly set CSS background.,722,background red,
barchart,,Bar chart widget.,0,"iris
barchart",
baseUrl,,Required for RSS and OpenGraph.,919,baseUrl https://hub.scroll.pub/,
belowAsCode,,Print code below.,66,"belowAsCode
iris
printTable",
belowAsCodeUntil,,Print code above until match.,66,"belowAsCode
counter 1 second",
belowAsHtml,,Displays html output of next particle in a code block.,66,"belowAsHtml
# Hello world",
blink,,Just for fun.,0,blink Carpe diem!,
blockquote,,HTML tag.,0,"blockquote
p A wise quote",
br,,A break.,10,br 2,
buildConcepts,,Compile concepts to delimited files.,3,,
buildCss,,Compile to CSS file.,5,buildCss,
buildCsv,,Compile to CSV file.,10,buildCsv,
buildJs,,Compile to JS file.,0,,
buildJson,,Compile to JSON file.,10,,
buildMeasures,,Compile measures to delimited files.,3,,
buildParsers,,Compile to Parsers file.,10,,
buildPdf,,Compile to PDF file.,10,,
buildRss,,Compile to RSS file.,5,,
buildTsv,,Compile to TSV file.,10,,
button,,HTML tag.,0,"button Submit
type submit",
canonicalUrl,,Override canonical URL.,0,,
canvas,,HTML tag.,0,canvas,
center,,A centered section.,642,"center
This paragraph is centered.",
chat,,A faux text chat conversation.,37,"chat
Hi
👋",
classicForm,,Generate input form for ScrollSet.,640,,
clearStack,,Clear body stack.,10,,
cloc,,Output results of cloc as table.,214,"datatable
printTable
data
 year,count
 1900,10
 2000,122
 2020,23",
codeFromFile,,A code block.,17,codeFromFile math.py,
codeWithHeader,,A code block.,17,"codeWithHeader math.py
two = 1 + 1",
color,,Quickly set CSS font-color.,722,,
comment,,Prints nothing.,20,,
concepts,,Load concepts as datatable.,0,"concepts
printTable",
conceptTemplate,,Loads a template after document is parsed.,0,"conceptTemplate
# This is a page for {name}
His phone is {phone}",
container,,A centered HTML div.,10,container 600px,
copyButtons,,Copy code widget.,148,,
counter,,Visualize the speed of something.,0,counter 4.5 Babies Born,
css,,A style tag.,722,"css
body { color: red;}",
dashboard,,Key stats in large font.,15,"dashboard
#2 Popularity
30 Years Old
$456 Revenue",
datatable,,A datatable.,214,"datatable
printTable
data
 year,count
 1900,10
 2000,122
 2020,23",
debugAbove,,Inspect particle above.,66,"belowAsCode
iris
printTable",
debugAll,,Inspect entire document.,66,"belowAsCode
iris
printTable",
debugBelow,,Inspect particle below.,66,"belowAsCode
iris
printTable",
debugParsers,,Print source code of all parsers used.,193,"code
two = 1 + 1",
debugSourceMap,,Print the source map.,193,"code
two = 1 + 1",
debugSourceStack,,Print compilation steps.,0,printOriginalSource,
debugTest,,Inspect entire document during test.,66,"// Test with ""scroll test""
# Hello world
debugTest",
dependencies,,Get files this file depends on.,214,"datatable
printTable
data
 year,count
 1900,10
 2000,122
 2020,23",
description,,Description for SEO meta tag.,169,,
dinkus,,A custom dinkus.,0,,
disk,,Output file into as datatable.,214,"datatable
printTable
data
 year,count
 1900,10
 2000,122
 2020,23",
div,,HTML tag.,0,"div
# Hello world
div
 # Deeper",
downloadButton,,Link to download/WWS page.,630,,
dumpConcept,,A code block.,17,dumpConcept,
editBaseUrl,,Override edit link baseUrl.,784,,
editButton,,Print badge top right.,1397,,
editLink,,"Print ""Edit"" link.",121,,
editUrl,,Override edit link.,0,,
em,,HTML tag.,0,em Emphasized text,
email,,Set email address for site contact.,131,,
emailButton,,Email button.,630,,
endColumns,,End columns.,779,,
endSnippet,,Cut for snippet here.,430,,
evalJs,,Replace this with evaled JS.,0,"evalJs ""# The sum of 1 + 1 is "" + 1 + 1",
evalNodeJs,,Replace with evaled JS when NodeJS only.,0,"evalJs ""# The sum of 1 + 1 is "" + 1 + 1",
expander,,An collapsible HTML details tag.,8,"expander Knock Knock
Who's there?",
favicon,,Favicon file.,169,"favicon logo.png
metatags
buildHtml",
fetch,,Download URL to disk.,0,"fetch https://breckyunits.com/posts.csv
fetch https://breckyunits.com/posts.csv renamed.csv",
fileNav,,Titles and links in group(s).,5,printSnippets index,
font,,Quickly set font family.,722,font Slim,
footer,,HTML tag.,0,"footer
p Made with love",
form,,HTML tag.,0,"form
input",
h1,,HTML tag.,0,"main
h1 Title",
h2,,HTML tag.,0,"main
h2 Title",
h3,,HTML tag.,0,"main
h3 Title",
h4,,HTML tag.,0,"main
h4 Title",
header,,HTML tag.,0,"header
# Title",
