version	releaseDate	bugFixes	newFeatures	breakingChanges
166.3.0	1/14/2025	1	1	0
166.2.0	1/14/2025	0	1	0
166.1.0	1/13/2025	0	3	0
166.0.0	1/12/2025	0	9	2
165.4.0	1/09/2025	0	2	0
165.3.0	1/09/2025	0	2	0
165.2.0	1/08/2025	1	1	0
165.1.1	1/06/2025	1	0	0
165.1.0	1/06/2025	0	1	0
165.0.0	1/05/2025	0	1	1
164.12.0	1/02/2025	0	1	0
164.11.0	12/29/2024	3	2	0
164.10.0	12/29/2024	0	3	0
164.9.0	12/24/2024	0	1	0
164.8.0	12/19/2024	0	4	0
164.7.0	12/19/2024	0	1	0
164.6.0	12/19/2024	0	3	0
164.5.0	12/19/2024	1	0	0
164.4.0	12/17/2024	1	2	0
164.3.0	12/16/2024	0	1	0
164.2.0	12/16/2024	0	2	0
164.1.0	12/16/2024	0	1	0
164.0.0	12/15/2024	0	2	1
163.2.1	12/15/2024	1	0	0
163.2.0	12/15/2024	0	1	0
163.1.0	12/15/2024	0	2	0
163.0.0	12/13/2024	0	3	3
162.1.0	12/07/2024	0	1	0
162.0.1	12/06/2024	1	0	0
162.0.0	12/06/2024	0	1	1
161.3.0	12/04/2024	0	1	0
161.2.0	12/04/2024	0	1	0
161.1.0	12/04/2024	0	1	0
161.0.4	12/02/2024	1	0	0
161.0.3	12/02/2024	1	0	0
161.0.2	12/02/2024	1	0	0
161.0.1	12/02/2024	1	0	0
161.0.0	12/01/2024	0	3	5
160.0.0	11/30/2024	0	1	0
159.1.0	11/30/2024	0	1	0
159.0.0	11/30/2024	0	0	1
158.0.4	11/29/2024	1	0	0
158.0.3	11/29/2024	2	0	0
158.0.2	11/29/2024	1	0	0
158.0.1	11/29/2024	1	0	0
158.0.0	11/29/2024	0	1	1
157.0.0	11/29/2024	0	0	2
156.0.0	11/28/2024	0	0	1
155.4.2	11/26/2024	1	0	0
155.4.1	11/25/2024	1	0	0
155.4.0	11/23/2024	0	1	0
155.3.0	11/22/2024	0	1	0
155.2.0	11/22/2024	0	1	0
155.1.0	11/21/2024	0	6	0
155.0.3	11/20/2024	1	0	0
155.0.2	11/20/2024	1	0	0
155.0.1	11/20/2024	1	0	0
155.0.0	11/19/2024	0	1	1
154.3.0	11/18/2024	0	1	0
154.2.0	11/16/2024	0	3	0
154.1.0	11/15/2024	0	1	0
154.0.0	11/15/2024	0	1	1
153.1.0	11/14/2024	0	3	0
153.0.0	11/14/2024	0	1	1
152.0.0	11/13/2024	1	1	0
151.0.0	11/13/2024	1	1	0
150.0.0	11/13/2024	0	1	1
149.0.0	11/13/2024	0	1	1
148.3.1	11/12/2024	1	0	0
148.3.0	11/12/2024	0	1	0
148.2.0	11/12/2024	0	2	0
148.1.0	11/12/2024	0	2	0
148.0.0	11/11/2024	0	6	3
147.1.0	11/11/2024	0	2	0
147.0.0	11/09/2024	1	1	1
146.4.0	11/09/2024	0	1	0
146.3.0	11/08/2024	0	1	0
146.2.0	11/07/2024	0	1	0
146.1.0	11/05/2024	0	1	0
146.0.0	11/02/2024	0	3	1
145.12.0	11/02/2024	0	2	0
145.11.1	11/01/2024	0	1	0
145.11.0	10/31/2024	0	1	0
145.10.0	10/30/2024	0	1	0
145.9.0	10/30/2024	2	4	0
145.8.0	10/27/2024	0	2	0
145.7.0	10/27/2024	0	1	0
145.6.0	10/27/2024	0	1	0
145.5.1	10/26/2024	1	0	0
145.5.0	10/25/2024	0	1	0
145.4.0	10/25/2024	0	1	0
145.3.0	10/24/2024	0	1	0
145.2.0	10/24/2024	0	1	0
145.1.2	10/23/2024	1	0	0
145.1.1	10/23/2024	1	0	0
145.1.0	10/23/2024	0	1	0
145.0.0	10/23/2024	0	3	1
144.0.0	10/22/2024	0	1	1
143.0.0	10/19/2024	0	0	1
142.3.0	10/19/2024	0	1	0
142.2.0	10/18/2024	0	1	0
142.1.0	10/18/2024	0	1	0
142.0.2	10/16/2024	1	0	0
142.0.1	10/14/2024	1	0	0
142.0.0	10/14/2024	0	1	0
141.3.1	10/14/2024	1	0	0
141.3.0	10/14/2024	0	1	0
141.2.0	10/14/2024	0	3	0
141.1.0	10/14/2024	0	2	0
141.0.0	10/12/2024	1	1	1
140.0.0	10/12/2024	0	1	1
139.1.0	10/11/2024	0	1	0
139.0.1	10/11/2024	1	0	0
139.0.0	10/11/2024	0	1	1
138.4.0	10/09/2024	0	1	0
138.3.0	10/09/2024	0	1	0
138.2.0	10/08/2024	0	1	0
138.1.1	10/08/2024	0	1	0
138.1.0	10/08/2024	0	1	0
138.0.0	10/08/2024	0	1	1
137.4.0	10/08/2024	0	1	0
137.3.0	10/07/2024	0	1	0
137.2.0	10/06/2024	0	1	0
137.1.0	10/05/2024	0	1	0
137.0.0	10/04/2024	0	8	1
136.12.0	10/04/2024	0	2	0
136.11.1	10/02/2024	0	1	0
136.11.0	10/02/2024	0	1	0
136.10.0	10/02/2024	0	1	0
136.9.0	9/30/2024	0	1	0
136.8.0	9/30/2024	0	1	0
136.7.0	9/30/2024	0	1	0
136.6.0	9/27/2024	0	1	0
136.5.0	9/27/2024	0	1	0
136.4.1	9/27/2024	1	0	0
136.4.0	9/27/2024	1	2	0
136.3.0	9/27/2024	0	3	0
136.2.1	9/26/2024	1	0	0
136.2.0	9/26/2024	0	1	0
136.1.0	9/26/2024	0	1	0
136.0.0	9/26/2024	0	0	1
135.0.0	9/26/2024	0	1	2
134.1.0	9/26/2024	0	2	0
134.0.0	9/25/2024	0	1	1
133.6.0	9/24/2024	0	1	0
